Unidade Responsável;UASG;Id do item no PCA;Categoria do Item;Identificador da Futura Contratação;Nome da Futura Contratação;Catálogo Utilizado;Classificação do Catálogo;Código da Classificação Superior (Classe/Grupo);Nome da Classificação Superior (Classe/Grupo);Código do PDM do Item;Nome do PDM do Item;Código do Item;Descrição do Item;Unidade de Fornecimento;Quantidade Estimada;Valor Unitário Estimado (R$);Valor Total Estimado (R$);Valor orçamentário estimado para o exercício (R$);Data Desejada
DIRETORIA DE PORTOS E COSTAS;752000;277;Material;752000-10/2025;Aquisição de Materiais para Manutenção/Expediente/Consumíveis da OM;Catálogo do Compras.gov.br;Material;6505;DROGAS E MEDICAMENTOS;2259;ÁLCOOL ETÍLICO;273231;CARACTERÍSTICAS ADICIONAIS: BAG IN BOX, COM BICO DOSADOR, REFIL, COMPOSIÇÃO BÁSICA: COM CARBOPOL E GLICERINA, TEOR ALCOÓLICO: 70% ( 70°GL), TIPO: HIDRATADO;ML;30,0000;10,9200;327,6000;0,0000;01/12/2025
DIRETORIA DE PORTOS E COSTAS;752000;278;Material;752000-10/2025;Aquisição de Materiais para Manutenção/Expediente/Consumíveis da OM;Catálogo do Compras.gov.br;Material;7930;COMPOSTOS E PREPARADOS PARA LIMPEZA E POLIMENTO;2166;ÁGUA SANITÁRIA;310507;COMPOSIÇÃO QUÍMICA: HIPOCLORITO DE SÓDIO, HIDRÓXIDO DE SÓDIO, CLORETO, COR: INCOLOR, TIPO: COMUM, APLICAÇÃO: LAVAGEM E ALVEJANTE DE ROUPAS, BANHEIRAS, PIAS,;FR;520,0000;3,4000;1768,0000;0,0000;01/12/2025
DIRETORIA DE PORTOS E COSTAS;752000;279;Material;752000-10/2025;Aquisição de Materiais para Manutenção/Expediente/Consumíveis da OM;Catálogo do Compras.gov.br;Material;7510;ARTIGOS PARA ESCRITÓRIO;99;CANETA ESFEROGRÁFICA;271838;CARACTERÍSTICAS ADICIONAIS: MATERIAL TRANSPARENTE E COM ORIFÍCIO LATERAL, COR TINTA: VERMELHA, MATERIAL: PLÁSTICO, MATERIAL PONTA: LATÃO COM ESFERA DE TUNGSTÊNIO, QUANTIDADE CARGAS: 1, TIPO ESCRITA: MÉDIA;UN;360,0000;1,2100;435,6000;0,0000;01/12/2025
DIRETORIA DE PORTOS E COSTAS;752000;280;Material;752000-10/2025;Aquisição de Materiais para Manutenção/Expediente/Consumíveis da OM;Catálogo do Compras.gov.br;Material;7930;COMPOSTOS E PREPARADOS PARA LIMPEZA E POLIMENTO;2166;ÁGUA SANITÁRIA;299605;COMPOSIÇÃO QUÍMICA: HIPOCLORITO DE SÓDIO, HIDRÓXIDO DE SÓDIO, CLORETO, COR: INCOLOR, TEOR CLORO ATIVO: VARIA DE 2 A 2,50%, APLICAÇÃO: LAVAGEM E ALVEJANTE DE ROUPAS, BANHEIRAS, PIAS,;GRF;20,0000;9,1100;182,2000;0,0000;01/12/2025
DIRETORIA DE PORTOS E COSTAS;752000;281;Material;752000-10/2025;Aquisição de Materiais para Manutenção/Expediente/Consumíveis da OM;Catálogo do Compras.gov.br;Material;7240;RECEPIENTES PARA USO DOMÉSTICO E COMERCIAL;764;BALDE;216091;CAPACIDADE: 10, CARACTERÍSTICAS ADICIONAIS: NÃO APLICÁVEL, COR: PRETA, MATERIAL: PLÁSTICO, MATERIAL ALÇA: ARAME GALVANIZADO, TAMANHO: MÉDIO;UN;10,0000;11,0000;110,0000;0,0000;01/12/2025
DIRETORIA DE PORTOS E COSTAS;752000;282;Material;752000-10/2025;Aquisição de Materiais para Manutenção/Expediente/Consumíveis da OM;Catálogo do Compras.gov.br;Material;7510;ARTIGOS PARA ESCRITÓRIO;18075;CANETA MARCA-TEXTO;300527;CARACTERÍSTICAS ADICIONAIS: TRAÇO 4 MM, FILTRO POLIESTER, BASE D'ÁGUA, COR: FLUORESCENTE AMARELA, MATERIAL: PLÁSTICO, TIPO: NÃO RECARREGÁVEL, TIPO PONTA: CHANFRADA/POLIETILENO;UN;480,0000;2,0100;964,8000;0,0000;01/12/2025
DIRETORIA DE PORTOS E COSTAS;752000;283;Material;752000-10/2025;Aquisição de Materiais para Manutenção/Expediente/Consumíveis da OM;Catálogo do Compras.gov.br;Material;7930;COMPOSTOS E PREPARADOS PARA LIMPEZA E POLIMENTO;6087;DESENGRAXANTE;254167;APLICAÇÃO: LIMPEZA PESADA, ASPECTO FÍSICO: LÍQUIDO VISCOSO, CARACTERÍSTICAS ADICIONAIS: LÍQUIDO CONCENTRADO, BASE ALCALINA, SOLÚVEL EM, COMPOSIÇÃO: LAURIL ÉTER, SULFATO DE SÓDIO, ESPESSANTE, INIBI-;FR;6,0000;25,1700;151,0200;0,0000;01/12/2025
DIRETORIA DE PORTOS E COSTAS;752000;284;Material;752000-10/2025;Aquisição de Materiais para Manutenção/Expediente/Consumíveis da OM;Catálogo do Compras.gov.br;Material;6840;PESTICIDAS E DESINFETANTES;14487;DESINFETANTE;396196;CARACTERÍSTICA ADICIONAL: COM AROMA, COMPOSIÇÃO: À BASE DE QUATERNÁRIO DE AMÔNIO, FORMA FÍSICA: SOLUÇÃO AQUOSA, PRINCÍPIO ATIVO: CLORETO ALQUIL DIMETIL BENZIL AMÔNIO +TENSIOATIVOS, TEOR ATIVO: SOLUÇÃO CONCENTRADA, TEOR ATIVO EM TORNO DE 50%;L;200,0000;15,3100;3062,0000;0,0000;01/12/2025
DIRETORIA DE PORTOS E COSTAS;752000;285;Material;752000-10/2025;Aquisição de Materiais para Manutenção/Expediente/Consumíveis da OM;Catálogo do Compras.gov.br;Material;7510;ARTIGOS PARA ESCRITÓRIO;18075;CANETA MARCA-TEXTO;328961;CARACTERÍSTICAS ADICIONAIS: TRAÇO 4 MM, FILTRO POLIESTER, BASE D'ÁGUA, COR: FLUORESCENTE VERDE, MATERIAL: PLÁSTICO, TIPO: NÃO RECARREGÁVEL, TIPO PONTA: CHANFRADA/POLIETILENO;UN;200,0000;1,9500;390,0000;0,0000;01/12/2025
DIRETORIA DE PORTOS E COSTAS;752000;286;Material;752000-10/2025;Aquisição de Materiais para Manutenção/Expediente/Consumíveis da OM;Catálogo do Compras.gov.br;Material;7510;ARTIGOS PARA ESCRITÓRIO;18075;CANETA MARCA-TEXTO;328961;CARACTERÍSTICAS ADICIONAIS: TRAÇO 4 MM, FILTRO POLIESTER, BASE D'ÁGUA, COR: FLUORESCENTE VERDE, MATERIAL: PLÁSTICO, TIPO: NÃO RECARREGÁVEL, TIPO PONTA: CHANFRADA/POLIETILENO;UN;200,0000;1,1000;220,0000;0,0000;01/12/2025
DIRETORIA DE PORTOS E COSTAS;752000;287;Material;752000-10/2025;Aquisição de Materiais para Manutenção/Expediente/Consumíveis da OM;Catálogo do Compras.gov.br;Material;7510;ARTIGOS PARA ESCRITÓRIO;18078;CANETA HIDROGRÁFICA;317874;APLICAÇÃO: RETROPROJETOR, CARACTERÍSTICAS ADICIONAIS: PONTA DE 1 MM, TINTA PERMANENTE, COR CARGA: AZUL, ESPESSURA ESCRITA: FINA, MATERIAL: PLÁSTICO, MATERIAL PONTA: POLIACETATO, FORMATO CORPO: CILÍNDRICO;UN;50,0000;5,9400;297,0000;0,0000;01/12/2025
DIRETORIA DE PORTOS E COSTAS;752000;288;Material;752000-10/2025;Aquisição de Materiais para Manutenção/Expediente/Consumíveis da OM;Catálogo do Compras.gov.br;Material;6840;PESTICIDAS E DESINFETANTES;14487;DESINFETANTE;396196;CARACTERÍSTICA ADICIONAL: COM AROMA, COMPOSIÇÃO: À BASE DE QUATERNÁRIO DE AMÔNIO, FORMA FÍSICA: SOLUÇÃO AQUOSA, PRINCÍPIO ATIVO: CLORETO ALQUIL DIMETIL BENZIL AMÔNIO +TENSIOATIVOS, TEOR ATIVO: SOLUÇÃO CONCENTRADA, TEOR ATIVO EM TORNO DE 50%;GL;15,0000;32,8900;493,3500;0,0000;01/12/2025
DIRETORIA DE PORTOS E COSTAS;752000;289;Material;752000-10/2025;Aquisição de Materiais para Manutenção/Expediente/Consumíveis da OM;Catálogo do Compras.gov.br;Material;7510;ARTIGOS PARA ESCRITÓRIO;18078;CANETA HIDROGRÁFICA;293994;APLICAÇÃO: RETROPROJETOR, CARACTERÍSTICAS ADICIONAIS: PONTA DE 1 MM, TINTA PERMANENTE, COR CARGA: PRETA, ESPESSURA ESCRITA: FINA, MATERIAL: PLÁSTICO, MATERIAL PONTA: POLIACETATO, FORMATO CORPO: CILÍNDRICO;UN;50,0000;2,1400;107,0000;0,0000;01/12/2025
DIRETORIA DE PORTOS E COSTAS;752000;290;Material;752000-10/2025;Aquisição de Materiais para Manutenção/Expediente/Consumíveis da OM;Catálogo do Compras.gov.br;Material;7920;VASSOURAS, ESCOVAS, RODOS, ESPONJAS E ESFREGÕES;10273;PÁ;405532;FORMATO: QUADRADA, MATERIAL: AÇO;UN;3,0000;545,0000;1635,0000;0,0000;01/12/2025
DIRETORIA DE PORTOS E COSTAS;752000;291;Material;752000-10/2025;Aquisição de Materiais para Manutenção/Expediente/Consumíveis da OM;Catálogo do Compras.gov.br;Material;6850;ESPECIALIDADES QUÍMICAS DIVERSAS;6109;DESODORANTE / AROMATIZANTE DE AMBIENTE;344982;AROMA: LAVANDA, CARACTERÍSTICAS ADICIONAIS: SPRAY, TIPO: LÍQUIDO;FR;90,0000;12,4800;1123,2000;0,0000;01/12/2025
DIRETORIA DE PORTOS E COSTAS;752000;292;Material;752000-10/2025;Aquisição de Materiais para Manutenção/Expediente/Consumíveis da OM;Catálogo do Compras.gov.br;Material;7920;VASSOURAS, ESCOVAS, RODOS, ESPONJAS E ESFREGÕES;7042;ESPONJA LIMPEZA;232372;ABRASIVIDADE: ALTA / MÍNIMA, APLICAÇÃO: LIMPEZA GERAL, CARACTERÍSTICAS ADICIONAIS: UMA FACE MACIA OUTRA ÁSPERA, FORMATO: RETANGULAR, MATERIAL: ESPUMA / FIBRA SINTÉTICA;UN;900,0000;1,8600;1674,0000;0,0000;01/12/2025
DIRETORIA DE PORTOS E COSTAS;752000;293;Material;752000-10/2025;Aquisição de Materiais para Manutenção/Expediente/Consumíveis da OM;Catálogo do Compras.gov.br;Material;7510;ARTIGOS PARA ESCRITÓRIO;18078;CANETA HIDROGRÁFICA;323323;APLICAÇÃO: RETROPROJETOR, CARACTERÍSTICAS ADICIONAIS: PONTA DE 1 MM, TINTA PERMANENTE, COR CARGA: VERMELHA, ESPESSURA ESCRITA: FINA, MATERIAL: PLÁSTICO, MATERIAL PONTA: POLIACETATO, FORMATO CORPO: CILÍNDRICO;UN;50,0000;4,9800;249,0000;0,0000;01/12/2025
DIRETORIA DE PORTOS E COSTAS;752000;294;Material;752000-10/2025;Aquisição de Materiais para Manutenção/Expediente/Consumíveis da OM;Catálogo do Compras.gov.br;Material;7920;VASSOURAS, ESCOVAS, RODOS, ESPONJAS E ESFREGÕES;7042;ESPONJA LIMPEZA;225902;ABRASIVIDADE: MÍNIMA, APLICAÇÃO: UTENSÍLIOS DOMÉSTICOS, FORMATO: ANATÔMICO, MATERIAL: LÃ AÇO;PCT;450,0000;11,1600;5022,0000;0,0000;01/12/2025
DIRETORIA DE PORTOS E COSTAS;752000;295;Material;752000-10/2025;Aquisição de Materiais para Manutenção/Expediente/Consumíveis da OM;Catálogo do Compras.gov.br;Material;7920;VASSOURAS, ESCOVAS, RODOS, ESPONJAS E ESFREGÕES;7630;FLANELA;319163;CARACTERÍSTICAS ADICIONAIS: ACABAMENTO NAS BORDAS, COMPRIMENTO: 40, COR: LARANJA, LARGURA: 30, MATERIAL: ALGODÃO;UN;430,0000;7,4500;3203,5000;0,0000;01/12/2025
DIRETORIA DE PORTOS E COSTAS;752000;296;Material;752000-10/2025;Aquisição de Materiais para Manutenção/Expediente/Consumíveis da OM;Catálogo do Compras.gov.br;Material;7510;ARTIGOS PARA ESCRITÓRIO;18073;CANETA - INDICADOR;447661;APLICAÇÃO: APRESENTADOR DE SLIDES COM LASER POINTER, CARACTERÍSTICAS ADICIONAIS: SEM FIO, ALCANCE 15 METROS, INTERFACE USB, ESTOJO, MATERIAL: AÇO, TIPO INDICADOR: LASER;UN;3,0000;70,6700;212,0100;0,0000;01/12/2025
DIRETORIA DE PORTOS E COSTAS;752000;297;Material;752000-10/2025;Aquisição de Materiais para Manutenção/Expediente/Consumíveis da OM;Catálogo do Compras.gov.br;Material;7510;ARTIGOS PARA ESCRITÓRIO;88;CAPA;250807;APLICAÇÃO: ENCADERNAÇÃO, COMPRIMENTO: 297, COR: INCOLOR TRANSPARENTE, LARGURA: 210, MATERIAL: PLÁSTICO, TRANSMITÂNCIA: TRANSPARENTE;UN;330,0000;4,9900;1646,7000;0,0000;01/12/2025
DIRETORIA DE PORTOS E COSTAS;752000;298;Material;752000-10/2025;Aquisição de Materiais para Manutenção/Expediente/Consumíveis da OM;Catálogo do Compras.gov.br;Material;7510;ARTIGOS PARA ESCRITÓRIO;4439;CAPA ENCADERNAÇÃO;359955;CARACTERÍSTICAS ADICIONAIS: CONTRA-CAPA, COR: PRETA, FORMATO: 210 X 297, MATERIAL: PVC - CLORETO DE POLIVINILA, TIPO: A4;UN;330,0000;0,3600;118,8000;0,0000;01/12/2025
DIRETORIA DE PORTOS E COSTAS;752000;299;Material;752000-10/2025;Aquisição de Materiais para Manutenção/Expediente/Consumíveis da OM;Catálogo do Compras.gov.br;Material;6840;PESTICIDAS E DESINFETANTES;19398;INSETICIDA;484679;APLICAÇÃO: USO DOMÉSTICO, TIPO: LÍQUIDO;UN;36,0000;18,1600;653,7600;0,0000;01/12/2025
DIRETORIA DE PORTOS E COSTAS;752000;300;Material;752000-10/2025;Aquisição de Materiais para Manutenção/Expediente/Consumíveis da OM;Catálogo do Compras.gov.br;Material;6350;SISTEMAS DIVERSOS DE SINALIZAÇÃO, ALARME E DETECÇÃO PARA  SEGURANÇA;12649;CARTÃO CONTROLE ACESSO;472869;CARACTERÍSTICAS ADICIONAIS: LEITURA POR PROXIMIDADE, COMPRIMENTO: 8,55, ESPESSURA: 0,76, FREQÜÊNCIA: 125, LARGURA: 54, MATERIAL: PVC - CLORETO DE POLIVINILA;UN;400,0000;7,9400;3176,0000;0,0000;01/12/2025
DIRETORIA DE PORTOS E COSTAS;752000;301;Material;752000-10/2025;Aquisição de Materiais para Manutenção/Expediente/Consumíveis da OM;Catálogo do Compras.gov.br;Material;7930;COMPOSTOS E PREPARADOS PARA LIMPEZA E POLIMENTO;17562;SOLUÇÃO LIMPADORA;353517;APLICAÇÃO: TUBO PVC, APRESENTAÇÃO: FRASCO PLÁSTICO;EMB;300,0000;6,4000;1920,0000;0,0000;01/12/2025
DIRETORIA DE PORTOS E COSTAS;752000;302;Material;752000-10/2025;Aquisição de Materiais para Manutenção/Expediente/Consumíveis da OM;Catálogo do Compras.gov.br;Material;7930;COMPOSTOS E PREPARADOS PARA LIMPEZA E POLIMENTO;8847;LIMPA-VIDRO;300935;ASPECTO FÍSICO: LÍQUIDO, CARACTERÍSTICAS ADICIONAIS: PULVERIZADOR COM GATILHO, VALIDADE MÍNIMA 3 ANOS, COMPOSIÇÃO: LAURIL ÉTER, SULFATO DE SÓDIO;UN;20,0000;4,4800;89,6000;0,0000;01/12/2025
DIRETORIA DE PORTOS E COSTAS;752000;303;Material;752000-10/2025;Aquisição de Materiais para Manutenção/Expediente/Consumíveis da OM;Catálogo do Compras.gov.br;Material;7510;ARTIGOS PARA ESCRITÓRIO;11;CLIPE;271781;FORMATO: PARALELO, MATERIAL: METAL, TAMANHO: 1;UN;96,0000;3,4300;329,2800;0,0000;01/12/2025
DIRETORIA DE PORTOS E COSTAS;752000;304;Material;752000-10/2025;Aquisição de Materiais para Manutenção/Expediente/Consumíveis da OM;Catálogo do Compras.gov.br;Material;7510;ARTIGOS PARA ESCRITÓRIO;11;CLIPE;271782;FORMATO: PARALELO, MATERIAL: METAL, TAMANHO: 2;UN;96,0000;3,2100;308,1600;0,0000;01/12/2025
DIRETORIA DE PORTOS E COSTAS;752000;305;Material;752000-10/2025;Aquisição de Materiais para Manutenção/Expediente/Consumíveis da OM;Catálogo do Compras.gov.br;Material;4140;VENTILADORES, CIRCULADORES DE AR E VENTOINHAS;8050;GRADE PROTEÇÃO/GUARDA CORPO;619548;ALTURA: 0,40, APLICAÇÃO: PROTEÇÃO, LARGURA: 51,5, MATERIAL: AÇO INOX 304;UN;2,0000;160,0000;320,0000;0,0000;01/12/2025
DIRETORIA DE PORTOS E COSTAS;752000;306;Material;752000-10/2025;Aquisição de Materiais para Manutenção/Expediente/Consumíveis da OM;Catálogo do Compras.gov.br;Material;7510;ARTIGOS PARA ESCRITÓRIO;11;CLIPE;271780;FORMATO: PARALELO, MATERIAL: METAL, TAMANHO: 6/0;UN;96,0000;4,2000;403,2000;0,0000;01/12/2025
DIRETORIA DE PORTOS E COSTAS;752000;307;Material;752000-10/2025;Aquisição de Materiais para Manutenção/Expediente/Consumíveis da OM;Catálogo do Compras.gov.br;Material;7930;COMPOSTOS E PREPARADOS PARA LIMPEZA E POLIMENTO;13772;LUSTRADOR MÓVEIS;346243;APLICAÇÃO: MÓVEIS E SUPERFÍCIES LISAS, AROMA: LAVANDA, ASPECTO FÍSICO: PASTOSO, COMPONENTES: BASE DE SILICONE;UN;20,0000;3,7000;74,0000;0,0000;01/12/2025
DIRETORIA DE PORTOS E COSTAS;752000;308;Material;752000-10/2025;Aquisição de Materiais para Manutenção/Expediente/Consumíveis da OM;Catálogo do Compras.gov.br;Material;7510;ARTIGOS PARA ESCRITÓRIO;11;CLIPE;272504;FORMATO: TRANÇADO, MATERIAL: METAL, TAMANHO: 1/0, TRATAMENTO SUPERFICIAL: NIQUELADO;UN;36,0000;7,6500;275,4000;0,0000;01/12/2025
DIRETORIA DE PORTOS E COSTAS;752000;309;Material;752000-10/2025;Aquisição de Materiais para Manutenção/Expediente/Consumíveis da OM;Catálogo do Compras.gov.br;Material;7510;ARTIGOS PARA ESCRITÓRIO;11;CLIPE;272502;FORMATO: TRANÇADO, MATERIAL: METAL, TAMANHO: 2/0, TRATAMENTO SUPERFICIAL: NIQUELADO;UN;36,0000;7,2700;261,7200;0,0000;01/12/2025
DIRETORIA DE PORTOS E COSTAS;752000;310;Material;752000-10/2025;Aquisição de Materiais para Manutenção/Expediente/Consumíveis da OM;Catálogo do Compras.gov.br;Material;6532;VESTUÁRIO HOSPITALAR E CIRÚRGICO E ITENS CORRELATOS DE  FINALIDADES ESPECIAIS;30247;LUVA P/ PROCEDIMENTO DE SAÚDE NÃO CIRÚRGICO C/ ANVISA;619859;COR: C/ COR, EMBALAGEM: PAR EM EMBALAGEM INDIVIDUAL, ESTERILIDADE: ESTÉRIL, USO ÚNICO, FORMATO: AMBIDESTRA, MATERIAL: BORRACHA NATURAL - LÁTEX, PÓ: COM PÓ BIOABSORVÍVEL, SUPERFÍCIE: SUPERFÍCIE LISA, TAMANHO: GRANDE - G;EMB;105,0000;11,2000;1176,0000;0,0000;01/12/2025
DIRETORIA DE PORTOS E COSTAS;752000;311;Material;752000-10/2025;Aquisição de Materiais para Manutenção/Expediente/Consumíveis da OM;Catálogo do Compras.gov.br;Material;8040;ADESIVOS;13894;COLA;345252;APLICAÇÃO: VIDRO,BORRACHA,PLÁSTICO,PVC,METAL,ACRÍLICO,NÁILON, CARACTERÍSTICAS ADICIONAIS: INSTANTÂNEA, COMPOSIÇÃO: ESTER DE CIANOACRILATO, COR: INCOLOR, TIPO: LÍQUIDO;UN;40,0000;8,6900;347,6000;0,0000;01/12/2025
DIRETORIA DE PORTOS E COSTAS;752000;312;Material;752000-10/2025;Aquisição de Materiais para Manutenção/Expediente/Consumíveis da OM;Catálogo do Compras.gov.br;Material;8040;ADESIVOS;13894;COLA;292447;APLICAÇÃO: PAPEL, CARACTERÍSTICAS ADICIONAIS: ATÓXICA, COR: BRANCA, TIPO: BASTÃO;UN;120,0000;10,1000;1212,0000;0,0000;01/12/2025
DIRETORIA DE PORTOS E COSTAS;752000;313;Material;752000-10/2025;Aquisição de Materiais para Manutenção/Expediente/Consumíveis da OM;Catálogo do Compras.gov.br;Material;8040;ADESIVOS;13894;COLA;303971;APLICAÇÃO: PAPEL, CARACTERÍSTICAS ADICIONAIS: INSTANTÂNEA, COR: BRANCA, TIPO: LÍQUIDO;UN;80,0000;5,6200;449,6000;0,0000;01/12/2025
DIRETORIA DE PORTOS E COSTAS;752000;314;Material;752000-10/2025;Aquisição de Materiais para Manutenção/Expediente/Consumíveis da OM;Catálogo do Compras.gov.br;Material;6532;VESTUÁRIO HOSPITALAR E CIRÚRGICO E ITENS CORRELATOS DE  FINALIDADES ESPECIAIS;30247;LUVA P/ PROCEDIMENTO DE SAÚDE NÃO CIRÚRGICO C/ ANVISA;619846;COR: C/ COR, ESTERILIDADE: NÃO ESTÉRIL, USO ÚNICO, FORMATO: AMBIDESTRA, MATERIAL: BORRACHA NATURAL - LÁTEX, PÓ: SEM PÓ, SUPERFÍCIE: SUPERFÍCIE LISA, TAMANHO: MÉDIO - M;UN;150,0000;11,9300;1789,5000;0,0000;01/12/2025
DIRETORIA DE PORTOS E COSTAS;752000;315;Material;752000-10/2025;Aquisição de Materiais para Manutenção/Expediente/Consumíveis da OM;Catálogo do Compras.gov.br;Material;7510;ARTIGOS PARA ESCRITÓRIO;15014;CORRETIVO FITA;331359;CARACTERÍSTICAS ADICIONAIS: CORPO EM ACRÍLICO CRISTAL TRANSPARENTE, PIGMENTOS, COMPRIMENTO: 8, LARGURA: 5, MATERIAL: BASE DE POLIACRILATO;UN;360,0000;6,4300;2314,8000;0,0000;01/12/2025
DIRETORIA DE PORTOS E COSTAS;752000;316;Material;752000-10/2025;Aquisição de Materiais para Manutenção/Expediente/Consumíveis da OM;Catálogo do Compras.gov.br;Material;8440;MEIAS, LUVAS E OUTROS COMPLEMENTOS DO VESTUARIO MASCULINO;1456;LUVA INDUSTRIAL;222684;ACABAMENTO SUPERFICIAL: NÃO APLICÁVEL, MATERIAL: MALHA DE AÇO INOXIDÁVEL, MODELO: AMBIDESTRA/FLEXÍVEL E LEVE, REVESTIMENTO INTERNO: SEM FORRO;UN;5,0000;282,2600;1411,3000;0,0000;01/12/2025
DIRETORIA DE PORTOS E COSTAS;752000;317;Material;752000-10/2025;Aquisição de Materiais para Manutenção/Expediente/Consumíveis da OM;Catálogo do Compras.gov.br;Material;7510;ARTIGOS PARA ESCRITÓRIO;32;CINTA ELÁSTICA;324135;COR: AMARELA, FORMA: CIRCULAR, MATERIAL: LÁTEX, TAMANHO: 18;UN;60,0000;3,5100;210,6000;0,0000;01/12/2025
DIRETORIA DE PORTOS E COSTAS;752000;318;Material;752000-10/2025;Aquisição de Materiais para Manutenção/Expediente/Consumíveis da OM;Catálogo do Compras.gov.br;Material;8415;VESTUÁRIO PARA FINS ESPECIAIS;419;LUVA DE PROTEÇÃO;208877;ACABAMENTO PALMA: ANTIDERRAPANTE, APLICAÇÃO: LIMPEZA, CARACTERÍSTICAS ADICIONAIS: SEM FORRO, COR: VERDE, ESTERILIDADE: NÃO ESTERILIZADA, MATERIAL: BORRACHA, TAMANHO: MÉDIO, TIPO PUNHO: LONGO;UN;120,0000;27,6100;3313,2000;0,0000;01/12/2025
DIRETORIA DE PORTOS E COSTAS;752000;319;Material;752000-10/2025;Aquisição de Materiais para Manutenção/Expediente/Consumíveis da OM;Catálogo do Compras.gov.br;Material;7510;ARTIGOS PARA ESCRITÓRIO;19705;ENVELOPE;459300;COR: BRANCO, GRAMATURA: 75, MATERIAL: OFFSET, MODELO: SACO PADRÃO, TAMANHO (C X L): 162 X 229;UN;65,0000;0,3700;24,0500;0,0000;01/12/2025
DIRETORIA DE PORTOS E COSTAS;752000;320;Material;752000-10/2025;Aquisição de Materiais para Manutenção/Expediente/Consumíveis da OM;Catálogo do Compras.gov.br;Material;8415;VESTUÁRIO PARA FINS ESPECIAIS;419;LUVA DE PROTEÇÃO;209148;ACABAMENTO PALMA: ANTIDERRAPANTE, APLICAÇÃO: LABORATORIAL, CARACTERÍSTICAS ADICIONAIS: COM FORRO, COR: AMARELA, ESTERILIDADE: NÃO ESTERILIZADA, MATERIAL: BORRACHA, TAMANHO: GRANDE, TIPO PUNHO: CURTO;UN;120,0000;3,3700;404,4000;0,0000;01/12/2025
DIRETORIA DE PORTOS E COSTAS;752000;321;Material;752000-10/2025;Aquisição de Materiais para Manutenção/Expediente/Consumíveis da OM;Catálogo do Compras.gov.br;Material;7520;ACESSÓRIOS E DISPOSITIVOS PARA ESCRITÓRIO;1499;ESTILETE;245448;COMPRIMENTO: 100, ESPESSURA: 18, MATERIAL CORPO: PLÁSTICO, TIPO: LÂMINA RETRÁTIL;UN;75,0000;3,9300;294,7500;0,0000;01/12/2025
DIRETORIA DE PORTOS E COSTAS;752000;322;Material;752000-10/2025;Aquisição de Materiais para Manutenção/Expediente/Consumíveis da OM;Catálogo do Compras.gov.br;Material;8010;TINTAS, VERNIZES E PRODUTOS CORRELATOS;1593;MASSA POLIR;265378;APLICAÇÃO: PINTURA AUTOMOTIVA/REMOVER MARCAS DE LIXAS, ÍNDICE ABRASÃO: Nº 2;UN;10,0000;41,1200;411,2000;0,0000;01/12/2025
DIRETORIA DE PORTOS E COSTAS;752000;323;Material;752000-10/2025;Aquisição de Materiais para Manutenção/Expediente/Consumíveis da OM;Catálogo do Compras.gov.br;Material;7510;ARTIGOS PARA ESCRITÓRIO;21;ETIQUETA ADESIVA;203508;APLICAÇÃO: IMPRESSORA LASER, COMPRIMENTO: 101,6, COR: BRANCA, FORMATO: RETANGULAR, LARGURA: 25,4, MATERIAL: PAPEL;UN;3,0000;49,4500;148,3500;0,0000;01/12/2025
DIRETORIA DE PORTOS E COSTAS;752000;324;Material;752000-10/2025;Aquisição de Materiais para Manutenção/Expediente/Consumíveis da OM;Catálogo do Compras.gov.br;Material;7920;VASSOURAS, ESCOVAS, RODOS, ESPONJAS E ESFREGÕES;14017;PÁ COLETORA LIXO;415155;COMPRIMENTO CABO: 80, MATERIAL CABO: PLÁSTICO, MATERIAL COLETOR: PLÁSTICO RESISTENTE;UN;15,0000;10,8100;162,1500;0,0000;01/12/2025
DIRETORIA DE PORTOS E COSTAS;752000;325;Material;752000-10/2025;Aquisição de Materiais para Manutenção/Expediente/Consumíveis da OM;Catálogo do Compras.gov.br;Material;7520;ACESSÓRIOS E DISPOSITIVOS PARA ESCRITÓRIO;18066;EXTRATOR GRAMPO;311193;CARACTERÍSTICAS ADICIONAIS: DIMENSÕES 150 X 20 MM, MATERIAL: AÇO INOXIDÁVEL, TIPO: ESPÁTULA;UN;60,0000;4,1500;249,0000;0,0000;01/12/2025
DIRETORIA DE PORTOS E COSTAS;752000;326;Material;752000-10/2025;Aquisição de Materiais para Manutenção/Expediente/Consumíveis da OM;Catálogo do Compras.gov.br;Material;7920;VASSOURAS, ESCOVAS, RODOS, ESPONJAS E ESFREGÕES;10319;PALHA AÇO;241725;ABRASIVIDADE: MÉDIA, APLICAÇÃO: LIMPEZA EM GERAL, MATERIAL: AÇO CARBONO;UN;250,0000;1,6700;417,5000;0,0000;01/12/2025
DIRETORIA DE PORTOS E COSTAS;752000;327;Material;752000-10/2025;Aquisição de Materiais para Manutenção/Expediente/Consumíveis da OM;Catálogo do Compras.gov.br;Material;7920;VASSOURAS, ESCOVAS, RODOS, ESPONJAS E ESFREGÕES;10344;PANO LIMPEZA;413363;APLICAÇÃO: USO GERAL, CARACTERÍSTICAS ADICIONAIS: ALVEJADO, COMPRIMENTO: 64, COR: BRANCA, LARGURA: 45, MATERIAL: 100% ALGODÃO, TIPO: SACO;UN;3840,0000;2,8000;10752,0000;0,0000;01/12/2025
